filename, language, JavaScript, HTML, Sass, CSS, comment, blank, total
src\views\frameHolderView\frameView\frameView.sass, Sass, 0, 0, 52, 0, 0, 22, 74
src\views\frameHolderView\frameView\index.js, JavaScript, 3, 0, 0, 0, 0, 2, 5
src\views\frameHolderView\index.js, JavaScript, 3, 0, 0, 0, 0, 2, 5
src\views\headerView\header.html, HTML, 0, 6, 0, 0, 0, 0, 6
src\views\headerView\header.js, JavaScript, 8, 0, 0, 0, 0, 3, 11
src\views\headerView\header.sass, Sass, 0, 0, 51, 0, 0, 42, 93
src\views\headerView\index.js, JavaScript, 3, 0, 0, 0, 0, 2, 5
src\views\index.js, JavaScript, 2, 0, 0, 0, 0, 2, 4
src\views\previewView\index.js, JavaScript, 3, 0, 0, 0, 0, 2, 5
src\views\previewView\previewView.html, HTML, 0, 18, 0, 0, 0, 0, 18
src\views\previewView\previewView.js, JavaScript, 24, 0, 0, 0, 0, 4, 28
src\views\previewView\previewView.sass, Sass, 0, 0, 32, 0, 0, 12, 44
src\views\startPageView\index.js, JavaScript, 3, 0, 0, 0, 0, 2, 5
src\views\startPageView\startPageView.html, HTML, 0, 9, 0, 0, 0, 0, 9
src\views\startPageView\startPageView.js, JavaScript, 7, 0, 0, 0, 0, 2, 9
src\views\startPageView\startPageView.sass, Sass, 0, 0, 0, 0, 0, 1, 1
src\views\toolsView\index.js, JavaScript, 3, 0, 0, 0, 0, 2, 5
src\views\toolsView\shortCutsMenuView\index.js, JavaScript, 3, 0, 0, 0, 0, 2, 5
src\views\toolsView\shortCutsMenuView\shortCutsMenu.html, HTML, 0, 10, 0, 0, 0, 0, 10
src\views\toolsView\shortCutsMenuView\shortCutsMenu.js, JavaScript, 66, 0, 0, 0, 0, 10, 76
src\views\toolsView\shortCutsMenuView\shortCutsMenu.sass, Sass, 0, 0, 96, 0, 0, 16, 112
src\views\toolsView\toolsView.html, HTML, 0, 18, 0, 0, 0, 0, 18
src\views\toolsView\toolsView.js, JavaScript, 29, 0, 0, 0, 0, 4, 33
src\views\toolsView\toolsView.sass, Sass, 0, 0, 78, 0, 0, 26, 104
tests\utils\htmlLoader.js, JavaScript, 6, 0, 0, 0, 0, 2, 8
Total, -, 1822, 111, 365, 383, 36, 578, 3295
